Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,38173.5,39950.0,37412.5,39747.0,39747.0,952477600
2021-08-05,39747.0,41365.0,37240.0,40905.5,40905.5,1789495200
2021-08-06,40905.5,43395.0,39897.0,42831.0,42831.0,1492910200
2021-08-07,42831.0,44750.0,42526.0,44624.0,44624.0,1514719500
2021-08-08,44624.0,45339.0,43302.0,43834.0,43834.0,1403602800
2021-08-09,43834.0,46489.5,42831.0,46270.0,46270.0,1800803800
2021-08-10,46270.0,46746.0,44663.0,45601.0,45601.0,1203764900
2021-08-11,45601.0,46814.0,45350.0,45518.5,45518.5,1206767600
2021-08-12,45518.5,46150.0,43842.0,44387.5,44387.5,1344271800
2021-08-13,44387.5,47933.0,44250.0,47821.0,47821.0,1469990900
2021-08-14,47821.0,48200.0,46005.0,47097.5,47097.5,1108553800
2021-08-15,47097.5,47416.5,45467.5,47030.0,47030.0,1298315100
2021-08-16,47030.0,48090.0,45619.0,45859.0,45859.0,1696842900
2021-08-17,45859.0,47181.0,44401.0,44650.0,44650.0,1898833000
2021-08-18,44650.0,46025.0,44200.0,44697.0,44697.0,1634568300
2021-08-19,44697.0,47121.0,43917.0,46767.5,46767.5,1642350200
2021-08-20,46767.5,49487.5,46659.0,49362.0,49362.0,1709919300
2021-08-21,49362.0,49820.5,48216.0,48855.0,48855.0,1286466200
2021-08-22,48855.0,49550.0,48083.5,49299.5,49299.5,1163556100
2021-08-23,49299.5,50596.0,49049.0,49485.5,49485.5,1479013100
2021-08-24,49485.5,49884.5,47555.0,47668.0,47668.0,1807472200
2021-08-25,47668.0,49300.0,47060.5,49014.0,49014.0,1981090700
